Employee_ID,Department,Emails_Sent,Emails_Received,Meetings_Hours,Z_Score,Docs_Created,Sheets_Collaborated,Tasks_Completed,Week,Collaboration_Index,Productivity_Score,Communication_Load,Collaboration_Load
E0049,Sales,34,83,13.63368901,1,10,4,21,6,0.956696564,1.435044846,117,14
E0050,HR,43,85,11.74513382,1,7,4,24,3,0.8630745,1.883071637,128,11
E0051,Finance,42,84,12.48548023,1,7,6,18,2,0.963999782,1.334768929,126,13
E0052,HR,56,75,12.87785922,1,6,8,21,3,1.008801125,1.513201688,131,14
E0053,Support,49,63,16.5994904,2,8,6,18,8,0.795477578,1.022756886,112,14
E0054,Finance,46,84,10.08316055,0,11,8,18,11,1.71431244,1.62408547,130,19
E0055,Sales,50,73,8.716036206,0,7,5,26,10,1.235071561,2.675988381,123,12
E0056,Support,61,68,11.31153182,0,2,4,23,4,0.487347967,1.868167205,129,6
E0057,Marketing,56,68,11.94602983,1,6,5,19,7,0.849681342,1.467631409,124,11
E0058,Engineering,57,68,9.897862514,0,8,3,23,2,1.009372249,2.110505613,125,11
E0059,Sales,58,66,7.318107444,-1,10,6,21,10,1.923514466,2.524612737,124,16
E0060,Engineering,51,78,10.55799033,0,5,7,11,2,1.038242779,0.951722548,129,12
E0061,Operations,54,63,11.633471,1,7,2,10,7,0.712393292,0.791548103,117,9
E0062,Marketing,51,68,11.04216452,0,5,3,23,2,0.664332395,1.909955636,119,8
E0063,Marketing,46,73,4.487082093,-2,10,4,20,3,2.551447156,3.644924509,119,14
E0064,Sales,44,70,5.229731501,-2,11,2,22,1,2.086767302,3.531452358,114,13
E0065,Marketing,57,74,12.15035284,1,11,5,15,4,1.216697391,1.140653804,131,16
E0066,Finance,53,77,8.883067498,0,6,1,21,9,0.70828212,2.12484636,130,7
E0067,Marketing,57,66,16.67371775,2,10,3,24,11,0.735555483,1.357948585,123,13
E0068,Engineering,37,73,14.0234822,1,7,2,17,12,0.59906218,1.131561896,110,9
E0069,Engineering,44,66,6.195610148,-1,8,6,17,10,1.945630699,2.362551563,110,14
E0070,Support,43,66,13.07954585,1,7,3,16,6,0.710250182,1.136400291,109,10
E0071,Engineering,48,71,14.80173061,2,6,3,31,8,0.569557868,1.961810435,119,9
E0072,Support,48,71,8.664179102,0,11,7,16,7,1.862548263,1.655598456,119,18
E0073,Engineering,48,61,9.741467138,0,3,9,16,8,1.117165825,1.489554434,109,12
E0074,Finance,52,82,8.355888854,-1,9,2,26,11,1.175730085,2.778998383,134,11
E0075,Support,47,72,6.632030683,-1,8,4,18,1,1.572320723,2.358481084,119,12
E0076,HR,46,71,14.73093384,2,14,5,16,1,1.207811322,1.017104271,117,19
E0077,Operations,37,72,2.230078517,-3,6,7,26,12,4.024669967,8.049339934,109,13
E0078,Sales,56,78,7.97625648,-1,8,5,29,8,1.448265213,3.230745474,134,13
E0079,Engineering,40,60,8.732621992,0,12,5,23,6,1.746702997,2.363186407,100,17
E0080,Marketing,56,69,10.47156387,0,2,4,20,10,0.523032437,1.743441455,125,6
E0081,Engineering,64,71,6.28091124,-1,9,3,24,6,1.648145349,3.296290699,135,12
E0082,Marketing,51,77,14.06480316,1,6,8,24,8,0.929318482,1.593117397,128,14
E0083,Operations,52,53,4.492300891,-2,7,6,17,12,2.36694971,3.095241928,105,13
E0084,Operations,50,75,4.536182507,-2,10,10,21,4,3.612597665,3.793227548,125,20
E0085,Operations,52,73,10.17415933,0,10,8,24,1,1.610859436,2.147812582,125,18
E0086,Marketing,55,75,6.139140753,-1,11,4,15,7,2.101093187,2.101093187,130,15
E0087,Engineering,51,57,10.62327386,0,10,4,17,2,1.204479923,1.462582763,108,14
E0088,Operations,41,65,7.779718911,-1,8,6,25,7,1.59458408,2.847471571,106,14
E0089,Finance,37,74,12.42218657,1,13,7,17,8,1.490070183,1.266559655,111,20
E0090,Support,54,84,7.216394183,-1,7,5,26,6,1.460494681,3.164405142,138,12
E0091,Marketing,39,74,14.33365232,1,7,4,17,10,0.717376381,1.108672588,113,11
E0092,Marketing,53,63,11.88822254,1,5,8,20,2,1.008672837,1.551804365,116,13
E0093,Engineering,47,75,7.725714119,-1,12,8,22,7,2.29207601,2.521283611,122,20
E0094,Marketing,49,61,11.87273921,1,6,8,20,9,1.087569613,1.553670875,110,14
E0095,Marketing,52,54,10.43804783,0,7,9,22,10,1.398840103,1.923405141,106,16
E0096,Operations,44,74,12.35653158,1,9,5,23,1,1.048176311,1.72200394,118,14
E0097,Engineering,42,69,11.79833099,1,8,2,22,6,0.781351881,1.718974139,111,10
E0098,Operations,49,71,11.07786059,0,7,5,23,7,0.993553445,1.90431077,120,12
E0099,Support,53,76,10.19395616,0,7,2,30,4,0.804005293,2.680017642,129,9
E0100,Support,48,81,12.71342197,1,10,8,19,7,1.312582669,1.385503928,129,18
E0101,Operations,51,67,13.51178977,1,6,2,27,3,0.551275902,1.86055617,118,8
E0102,Support,44,62,10.409701,0,5,6,24,10,0.964091872,2.103473176,106,11
E0103,Engineering,52,77,11.8184457,1,2,1,21,9,0.234037735,1.638264146,129,3
E0104,Sales,43,70,12.81177464,1,8,11,22,1,1.375637853,1.592843829,113,19
E0105,Operations,50,67,14.82078108,2,14,4,19,4,1.137744079,1.200952083,117,18
E0106,Finance,46,55,14.29637036,1,4,6,32,8,0.653749861,2.091999556,101,10
E0107,Finance,38,66,13.08957054,1,12,4,19,3,1.135591745,1.348515198,104,16
E0108,Marketing,50,64,8.757632673,0,8,10,19,6,1.844709737,1.947193611,114,18
E0109,Support,51,83,6.061377044,-1,10,5,20,3,2.124231564,2.832308752,134,15
E0110,Finance,54,82,11.67789127,1,12,2,22,2,1.104284593,1.735304361,136,14
E0111,Marketing,53,81,11.65518105,1,6,1,21,12,0.553133137,1.659399412,134,7
E0112,Sales,61,85,8.80917343,0,8,7,18,8,1.529180833,1.835017,146,15
E0113,Engineering,48,71,5.997255865,-1,5,3,22,4,1.143305341,3.144089687,119,8
E0114,Engineering,52,69,14.96738054,2,3,6,22,9,0.563649121,1.377808962,121,9
E0115,Engineering,47,73,11.27678176,0,8,6,14,7,1.140364004,1.140364004,120,14
E0116,Finance,60,55,6.37526186,-1,5,6,30,7,1.491472467,4.067652182,115,11
E0117,Sales,50,70,9.61906152,0,5,5,28,10,0.941702803,2.636767849,120,10
E0118,Finance,56,80,5.968945466,-1,1,8,22,7,1.291443597,3.156862126,136,9
E0119,Support,50,67,12.0453527,1,7,4,22,4,0.843212158,1.686424315,117,11
E0120,Finance,56,78,15.55024445,2,4,4,18,11,0.483376546,1.087597229,134,8
E0121,Sales,43,71,9.441930933,0,4,4,17,12,0.766141823,1.628051374,114,8
E0122,Sales,46,69,9.722542759,0,10,6,22,1,1.492183371,2.051752135,115,16
E0123,Support,48,69,9.171139492,0,8,6,19,12,1.376443614,1.868030619,117,14
E0124,Sales,53,70,9.326810439,0,3,11,25,3,1.355694489,2.420883016,123,14
E0125,Sales,50,64,7.672224036,-1,9,7,20,10,1.844970786,2.306213483,114,16
E0126,Engineering,41,68,14.14612858,1,9,2,17,10,0.726258195,1.122399028,109,11
E0127,Support,48,58,10.58508401,0,11,4,19,4,1.294768341,1.640039899,106,15
E0128,HR,56,61,10.19014873,0,8,9,20,9,1.519193392,1.787286343,117,17
E0129,HR,43,58,9.321839334,0,14,2,11,2,1.550111321,1.065701533,101,16
E0130,Sales,48,66,6.181310638,-1,6,5,26,11,1.53175382,3.620509028,114,11
E0131,HR,45,73,12.81514648,1,5,6,26,8,0.796227533,1.881992351,118,11
E0132,HR,62,62,14.26887605,1,5,8,20,8,0.851405169,1.309854107,124,13
E0133,Sales,50,76,4.415596483,-2,4,6,26,1,1.846518667,4.800948535,126,10
E0134,HR,65,67,12.12834159,1,8,4,19,1,0.914052999,1.447250581,132,12
E0135,Finance,55,74,12.58735226,1,10,4,17,4,1.030369989,1.251163559,129,14
E0136,Marketing,49,65,13.85261556,1,6,2,22,7,0.53862567,1.481220591,114,8
E0137,Support,49,78,13.61639567,1,11,5,13,1,1.094661117,0.889412157,127,16
E0138,Marketing,45,56,17.90740796,3,6,5,26,5,0.581782549,1.375122389,101,11
E0139,Sales,58,63,11.20078187,0,4,11,21,8,1.229429405,1.721201168,121,15
E0140,Engineering,57,53,12.97803457,1,8,5,28,5,0.930030609,2.00314285,110,13
E0141,Support,53,55,10.03729674,0,9,3,20,6,1.087222739,1.812037899,108,12
E0142,Sales,45,74,7.591495471,-1,12,6,24,1,2.095095093,2.793460124,119,18
E0143,Engineering,46,76,12.12482032,1,8,6,17,4,1.066681269,1.295255827,122,14
E0144,Marketing,38,68,12.981382,1,6,2,13,8,0.572189502,0.92980794,106,8
E0145,Sales,47,68,11.02535492,0,7,2,20,6,0.748418659,1.663152576,115,9
E0146,Support,47,74,5.019264302,-2,10,4,26,3,2.325865637,4.319464755,121,14
E0147,Support,48,76,5.653130436,-1,5,8,17,2,1.953967403,2.555188142,124,13
E0148,Operations,46,59,12.301885,1,7,3,31,3,0.751773151,2.330496769,105,10
E0149,Finance,48,76,8.902788645,0,8,5,21,9,1.312761533,2.120614784,124,13
E0150,HR,48,81,11.06827988,0,11,6,26,9,1.408651454,2.154408106,129,17
E0151,Engineering,48,70,11.44807365,0,6,7,27,4,1.044338294,2.169010302,118,13
E0152,Operations,59,56,9.656749181,0,10,4,23,4,1.313721451,2.15825667,115,14
E0153,HR,56,77,9.231747249,0,6,6,20,11,1.172820214,1.954700357,133,12
E0154,HR,51,71,9.609199117,0,8,8,15,2,1.508125149,1.413867327,122,16
E0155,Sales,48,64,11.77447073,1,6,3,13,7,0.704530167,1.017654686,112,9
E0156,HR,60,64,11.43999385,0,8,1,21,1,0.723473026,1.688103728,124,9
E0157,Finance,53,56,7.603076208,-1,5,4,19,5,1.046137426,2.208512344,109,9
E0158,Support,40,77,9.955491926,0,7,5,17,2,1.095341047,1.55173315,117,12
E0159,Operations,46,50,6.817879342,-1,10,4,16,9,1.790766957,2.046590808,96,14
E0160,HR,44,71,11.54306725,1,7,6,24,7,1.036429108,1.913407583,115,13
E0161,Sales,46,79,8.603373351,0,7,5,21,12,1.249560916,2.186731603,125,12
E0162,Finance,48,82,12.15931639,1,9,5,28,11,1.063885052,2.127770104,130,14
E0163,Marketing,59,66,9.278712442,0,8,10,20,10,1.751192097,1.945768997,125,18
E0164,Support,48,56,13.43201808,1,6,9,19,4,1.039355683,1.316517198,104,15
E0165,Support,43,63,13.99917935,1,3,5,21,11,0.533362514,1.400076598,106,8
E0166,Operations,51,61,11.33260402,0,10,8,14,3,1.459545767,1.135202264,112,18
E0167,Support,54,65,8.898270162,0,7,7,21,6,1.414388552,2.121582828,119,14
E0168,HR,63,64,7.188108423,-1,7,2,18,8,1.099154962,2.198309923,127,9
E0169,Sales,40,62,12.88489628,1,13,8,16,6,1.512434777,1.152331259,102,21
E0170,Support,54,62,9.801419763,0,8,5,23,10,1.203545486,2.129349706,116,13
E0171,Support,52,79,10.14445003,0,6,5,16,3,0.987038389,1.435692202,131,11
E0172,Marketing,54,68,8.834790118,0,6,8,21,3,1.423517923,2.135276884,122,14
E0173,Marketing,60,69,5.851619342,-1,6,4,21,5,1.459508986,3.064968871,129,10
E0174,Engineering,55,62,13.22344906,1,7,3,18,10,0.703064352,1.265515834,117,10
E0175,Finance,56,68,9.745856528,0,13,5,19,3,1.67506424,1.768123365,124,18
E0176,HR,59,71,4.41325098,-2,6,1,18,1,1.293123121,3.325173739,130,7
E0177,Support,41,82,9.585914207,0,12,6,21,4,1.700372745,1.983768203,123,18
E0178,Support,51,75,5.935918395,-1,6,6,15,3,1.730124162,2.162655202,126,12
E0179,Sales,57,54,11.77113585,1,8,7,17,11,1.174523565,1.331126707,111,15
E0180,Engineering,50,89,11.35900973,0,9,3,19,11,0.970951578,1.537339998,139,12
E0181,Finance,48,60,14.52476392,1,13,2,23,6,0.966198268,1.48150401,108,15
E0182,Engineering,43,72,5.570246948,-1,9,7,22,12,2.435220491,3.348428175,115,16
E0183,Operations,50,74,14.31162442,1,7,3,22,5,0.653098569,1.436816852,124,10
E0184,Finance,55,86,11.55800424,1,6,9,24,2,1.194457313,1.9111317,141,15
E0185,Support,49,59,5.899260487,-1,7,5,26,2,1.739316847,3.768519836,108,12
E0186,Support,65,74,15.48105253,2,7,4,17,10,0.667433101,1.03148752,139,11
E0187,Finance,49,86,9.62662249,0,12,7,19,2,1.787962263,1.787962263,135,19
E0188,Support,55,60,6.426295825,-1,7,6,24,8,1.750536244,3.23175922,115,13
E0189,HR,54,76,13.11874923,1,14,8,19,2,1.558211684,1.345728272,130,22
E0190,Finance,47,68,6.733280699,-1,10,4,10,1,1.810357149,1.293112249,115,14
E0191,Engineering,47,63,13.4686633,1,8,2,16,6,0.69114885,1.10583816,110,10
E0192,Finance,47,73,9.424130599,0,6,3,25,5,0.863381355,2.398281541,120,9
E0193,Support,58,66,8.952330848,0,11,3,17,3,1.406705647,1.708142571,124,14
E0194,HR,53,65,6.095076578,-1,9,6,19,4,2.114142086,2.677913309,118,15
E0195,HR,39,67,6.869227985,-1,10,6,19,10,2.033236301,2.414468107,106,16
E0196,Operations,52,71,10.48139582,0,15,8,19,8,2.003240753,1.654851057,123,23
E0197,Engineering,51,76,5.082398005,-2,13,5,18,2,2.959359119,2.959359119,127,18
E0198,Marketing,47,66,12.06767591,1,9,5,24,5,1.071345823,1.836592839,113,14
E0199,Marketing,56,67,8.425558423,-1,8,7,14,5,1.591417646,1.485323136,123,15
E0200,Finance,43,80,8.810833064,0,8,5,15,12,1.325065865,1.528922152,123,13
E0201,Operations,48,75,11.74949461,1,5,6,26,4,0.862779297,2.03929652,123,11
E0202,Sales,47,92,9.387781986,0,11,9,17,12,1.925338829,1.636538004,139,20
E0203,Finance,42,79,13.69172879,1,8,7,23,2,1.020982637,1.56550671,121,15
E0204,Operations,52,81,3.848934279,-2,8,4,26,5,2.474770601,5.362002969,133,12
E0205,Engineering,51,71,12.40135681,1,8,6,15,1,1.044670342,1.119289652,122,14
E0206,Engineering,46,68,10.07226682,0,4,3,22,6,0.632210198,1.986946336,114,7
E0207,Engineering,55,66,8.026355606,-1,7,7,16,4,1.551013566,1.772586933,121,14
E0208,Engineering,52,62,12.84697338,1,4,2,19,6,0.433307686,1.372141007,114,6
E0209,Engineering,52,64,11.76047131,1,9,3,25,8,0.940404136,1.959175284,116,12
E0210,Operations,59,76,10.68501777,0,2,6,17,6,0.684637384,1.454854441,135,8
E0211,Operations,55,67,9.240760837,0,8,3,19,6,1.074138941,1.855330898,122,11
E0212,HR,52,70,7.88360198,-1,10,3,30,12,1.463370379,3.377008568,122,13
E0213,Marketing,49,67,6.763173817,-1,9,7,13,7,2.061012722,1.674572837,116,16
E0214,Support,68,66,14.09780552,1,10,2,18,1,0.794817497,1.192226246,134,12
E0215,Engineering,51,66,12.48020755,1,4,2,9,10,0.445097005,0.667645507,117,6
E0216,Sales,53,62,11.70596109,1,7,4,20,10,0.865735376,1.57406432,115,11
E0217,Support,44,69,8.719008014,0,8,5,26,7,1.337585069,2.675170137,113,13
E0218,Operations,58,77,16.10167875,2,7,5,17,8,0.7016855,0.994054458,135,12
E0219,Sales,45,68,7.916655964,-1,8,3,16,6,1.233646341,1.794394677,113,11
E0220,Sales,58,66,8.865784514,0,8,5,25,9,1.317685378,2.534010343,124,13
E0221,Sales,56,45,15.43886288,2,4,3,23,2,0.425820207,1.399123538,101,7
E0222,HR,56,69,9.842773214,0,13,6,26,7,1.752319229,2.397910524,125,19
E0223,Operations,55,74,15.21432913,2,8,5,15,2,0.801759968,0.925107655,129,13
E0224,Sales,44,71,11.13578564,0,3,6,19,8,0.741608353,1.565617634,115,9
E0225,Engineering,45,73,8.455666043,-1,11,1,29,12,1.269080353,3.066944186,118,12
E0226,Finance,60,71,9.412572616,0,5,5,21,11,0.960377456,2.016792658,131,10
E0227,Sales,53,74,7.849583434,-1,6,4,18,7,1.129996691,2.033994044,127,10
E0228,HR,56,64,12.07999866,1,7,3,20,4,0.764526072,1.529052145,120,10
E0229,Support,43,62,13.66866721,1,8,1,15,11,0.613552675,1.022587791,105,9
E0230,Operations,55,60,11.4019762,0,8,6,21,8,1.128852351,1.693278527,115,14
E0231,HR,53,78,10.850889,0,7,6,18,5,1.096964118,1.518873395,131,13
E0232,Sales,55,79,6.882296231,-1,11,13,19,1,3.044798025,2.410465103,134,24
E0233,Operations,63,67,13.28017751,1,3,6,21,4,0.630244267,1.470569956,130,9
E0234,Finance,54,85,12.51969066,1,10,10,17,4,1.479323788,1.25742522,139,20
E0235,Sales,49,75,10.83427648,0,6,5,12,11,0.929503381,1.014003688,124,11
E0236,HR,46,85,9.095881736,0,8,3,20,1,1.089553175,1.981005773,131,11
E0237,Marketing,58,72,10.13171462,0,9,5,9,10,1.257667886,0.808500784,130,14
E0238,Engineering,46,79,7.270321714,-1,9,3,22,3,1.450971367,2.660114172,125,12
E0239,Support,54,73,5.577046347,-1,8,2,20,11,1.520439339,3.040878678,127,10
E0240,HR,41,65,9.100458288,0,4,5,19,6,0.891048678,1.881102764,106,9
E0241,Operations,48,71,7.419926848,-1,6,9,25,9,1.781488161,2.969146936,119,15
E0242,Sales,48,63,8.477092757,-1,5,3,23,12,0.84414073,2.426904599,111,8
E0243,Engineering,53,78,8.536146424,0,5,1,12,6,0.62918497,1.25836994,131,6
E0244,Sales,54,62,9.765923502,0,5,4,22,2,0.835971015,2.043484704,116,9
E0245,Operations,52,70,9.568914647,0,7,7,29,2,1.324639328,2.743895752,122,14
E0246,Sales,59,74,0.840539905,-3,7,2,22,10,4.889869529,11.9530144,133,9
E0247,Marketing,47,68,11.04369264,0,9,6,17,1,1.245465195,1.411527221,115,15
E0248,Engineering,53,61,10.39448962,0,9,6,21,4,1.31642579,1.842996106,114,15
E0249,Engineering,49,66,12.88344297,1,4,2,17,12,0.432169456,1.224480126,115,6
E0250,Operations,59,51,9.358569698,0,8,8,19,11,1.544614794,1.834230068,110,16
E0251,Support,64,66,13.25330073,1,12,2,16,1,0.982228627,1.122547002,130,14
E0252,Marketing,47,67,9.540907714,0,9,4,15,7,1.233290372,1.423027353,114,13
E0253,HR,40,66,11.02023578,0,7,4,23,9,0.91512348,1.913440005,106,11
E0254,Sales,53,73,7.248595188,-1,5,7,18,8,1.454793177,2.182189766,126,12
E0255,Finance,37,57,13.40824073,1,12,5,21,7,1.179880342,1.457499246,94,17
E0256,Sales,55,60,13.89999282,1,3,9,17,2,0.805369515,1.140940147,115,12
E0257,Sales,48,74,15.64994706,2,9,8,13,2,1.021024267,0.780783263,122,17
E0258,HR,49,69,8.372675707,-1,8,8,21,3,1.707089896,2.240555489,118,16
E0259,Sales,36,81,11.58905691,1,10,4,21,8,1.112076949,1.668115424,117,14
E0260,Marketing,49,81,5.680604796,-1,10,5,15,2,2.245305696,2.245305696,130,15
E0261,Marketing,60,67,4.33829852,-2,12,7,21,10,3.559186495,3.933837705,127,19
E0262,Engineering,58,69,11.69030686,1,7,4,22,2,0.866803311,1.733606621,127,11
E0263,Operations,38,72,9.661479559,0,2,8,25,4,0.93795612,2.3448903,110,10
E0264,Support,39,79,6.144729859,-1,7,5,19,6,1.679559653,2.659302783,118,12
E0265,Finance,54,66,10.53739181,0,11,5,21,11,1.386795237,1.820168748,120,16
E0266,Sales,52,89,12.80092255,1,9,6,23,2,1.086883862,1.666555255,141,15
E0267,Sales,54,70,10.18929636,0,5,6,13,9,0.983082372,1.161824621,124,11
E0268,HR,54,61,13.68543221,1,10,1,32,9,0.749041625,2.17903018,115,11
E0269,Operations,40,63,8.017731741,-1,4,13,21,1,1.88517473,2.328745255,103,17
E0270,Marketing,44,63,13.24823102,1,12,1,20,1,0.912393965,1.403683024,107,13
E0271,Finance,52,75,8.848687652,0,6,5,17,10,1.116900077,1.726118301,127,11
E0272,Engineering,64,67,13.69049679,1,5,3,13,9,0.544569739,0.884925825,131,8
E0273,Marketing,41,78,6.186427435,-1,11,6,19,1,2.365570397,2.643872796,119,17
E0274,Operations,49,73,10.69220639,0,6,2,20,7,0.684216454,1.710541136,122,8
E0275,Support,46,78,10.68585966,0,6,3,17,11,0.770161568,1.454749629,124,9
E0276,Engineering,56,55,11.43134772,0,9,4,20,5,1.045743414,1.608836021,111,13
E0277,Support,42,71,8.945740294,0,10,4,19,10,1.407637801,1.910365588,113,14
E0278,HR,37,82,11.29502958,0,8,4,17,6,0.976004159,1.382672558,119,12
E0279,HR,42,67,9.405137519,0,9,5,30,4,1.345489185,2.883191111,109,14
E0280,Sales,43,70,8.420251899,-1,6,12,19,2,1.91077693,2.016931203,113,18
E0281,Support,44,67,14.24227821,1,12,7,18,3,1.246532817,1.180925827,111,19
E0282,Operations,58,62,10.23409762,0,11,3,12,10,1.246206012,1.068176582,120,14
E0283,Finance,47,61,5.458505912,-2,6,4,22,8,1.548345722,3.406360589,108,10
E0284,Engineering,61,71,7.980909854,-1,11,3,18,2,1.558862101,2.004251272,132,14
E0285,Marketing,45,71,14.35446188,1,12,6,21,7,1.172297677,1.367680624,116,18
E0286,Operations,58,66,7.274178536,-1,13,3,23,12,1.933726705,2.779732139,124,16
E0287,Operations,52,73,11.62253462,1,3,4,13,3,0.55456374,1.029904088,125,7
E0288,HR,49,62,7.916373943,-1,13,5,23,11,2.018757862,2.579523935,111,18
E0289,Support,46,73,5.685386009,-1,4,7,25,2,1.645379936,3.739499853,119,11
E0290,Sales,59,82,11.44136466,0,5,4,26,10,0.723393313,2.089802904,141,9
E0291,Sales,55,55,9.014242276,0,1,4,27,4,0.499288899,2.696160054,110,5
E0292,Engineering,47,82,14.7655853,2,8,7,17,9,0.951439462,1.078298057,129,15
E0293,HR,47,74,13.37663167,1,6,6,16,7,0.834687866,1.112917154,121,12
E0294,Operations,43,71,13.79577376,1,3,3,15,9,0.405521205,1.013803012,114,6
E0295,Finance,40,81,13.19826019,1,14,5,23,5,1.338192127,1.619916785,121,19
E0296,HR,49,66,12.0685369,1,9,8,21,1,1.30083422,1.60691286,115,17
E0297,Engineering,51,71,5.902587281,-1,8,8,12,3,2.317971414,1.738478561,122,16
E0298,Engineering,53,79,9.298136877,0,8,6,11,2,1.359469209,1.068154379,132,14
E0299,HR,57,75,12.01262233,1,7,6,11,9,0.999029993,0.845333071,132,13
E0300,Engineering,54,83,9.128783681,0,4,6,26,2,0.987285376,2.566941976,137,10
E0301,HR,50,63,9.910005055,0,8,4,19,7,1.099907831,1.741520733,113,12
E0302,Marketing,60,78,12.17383513,1,7,8,18,12,1.138620595,1.366344715,138,15
E0303,HR,50,62,13.16817107,1,6,2,18,5,0.564645921,1.270453322,112,8
E0304,Support,50,60,7.232222106,-1,5,7,25,2,1.457686618,3.036847121,110,12
E0305,HR,48,65,12.01012303,1,10,5,22,11,1.152948359,1.690990927,113,15
E0306,Engineering,63,72,11.69488367,1,7,8,14,3,1.181578374,1.102806482,135,15
E0307,Support,45,74,7.03339428,-1,6,5,15,12,1.369284217,1.867205751,119,11
E0308,Engineering,59,88,8.780550199,0,5,4,22,8,0.920193631,2.249362209,147,9
E0309,Sales,59,77,10.44905548,0,6,7,20,2,1.135464845,1.746868992,136,13
E0310,Sales,48,61,14.16984488,1,11,7,23,5,1.186564539,1.5161658,109,18
E0311,Support,52,68,8.755743368,0,11,7,20,5,1.845066985,2.050074428,120,18
